Dutch,English,Type
Hallo,Hello,Phrase
Hoi,Hi,Phrase
Goedemorgen,Good morning,Phrase
Goedemiddag,Good afternoon,Phrase
Goedenavond,Good evening,Phrase
Welterusten,Good night,Phrase
Tot ziens,See you,Phrase
Tot later,See you later,Phrase
Tot morgen,See you tomorrow,Phrase
Doei,Bye,Phrase
Alsjeblieft,Please / here you are,Phrase
Dank je wel,Thank you,Phrase
Dank u wel,Thank you formal,Phrase
Graag gedaan,You are welcome,Phrase
Geen probleem,No problem,Phrase
Sorry,Sorry,Phrase
Het spijt me,I am sorry,Phrase
Pardon,Excuse me,Phrase
Mag ik iets vragen?,May I ask something?,Phrase
Ik begrijp het niet,I do not understand,Phrase
Kunt u dat herhalen?,Can you repeat that?,Phrase
Kunt u langzamer spreken?,Can you speak more slowly?,Phrase
Spreekt u Engels?,Do you speak English?,Phrase
Ik spreek een beetje Nederlands,I speak a little Dutch,Phrase
Hoe zeg je dat in het Nederlands?,How do you say that in Dutch?,Phrase
Wat betekent dit?,What does this mean?,Phrase
Hoe gaat het?,How are you?,Phrase
"Goed, dank je","Good, thank you",Phrase
Met mij gaat het goed,I am doing well,Phrase
En met jou?,And you?,Phrase
Hoe heet je?,What is your name?,Phrase
Ik heet ...,My name is ...,Phrase
Waar kom je vandaan?,Where are you from?,Phrase
Ik kom uit India,I come from India,Phrase
Waar woon je?,Where do you live?,Phrase
Ik woon in Nederland,I live in the Netherlands,Phrase
Ik weet het niet,I do not know,Phrase
Ik heb hulp nodig,I need help,Phrase
Ik ben verdwaald,I am lost,Phrase
Waar is het station?,Where is the station?,Phrase
Waar is de wc?,Where is the toilet?,Phrase
Hoe laat is het?,What time is it?,Phrase
Hoeveel kost het?,How much does it cost?,Phrase
Mag ik betalen?,May I pay?,Phrase
Ik wil graag betalen,I would like to pay,Phrase
Met pin betalen,Pay by card,Phrase
Contant betalen,Pay with cash,Phrase
Heeft u een tas?,Do you have a bag?,Phrase
Ik wil dit kopen,I want to buy this,Phrase
Dat is te duur,That is too expensive,Phrase
Heeft u iets goedkoper?,Do you have something cheaper?,Phrase
Ik heb een afspraak,I have an appointment,Phrase
Ik ben ziek,I am sick,Phrase
Ik heb pijn,I have pain,Phrase
Ik heb koorts,I have a fever,Phrase
Ik ben verkouden,I have a cold,Phrase
Ik zoek de huisarts,I am looking for the GP,Phrase
Ik heb een recept nodig,I need a prescription,Phrase
Mag ik water?,May I have water?,Phrase
Ik heb honger,I am hungry,Phrase
Ik heb dorst,I am thirsty,Phrase
Eet smakelijk,Enjoy your meal,Phrase
"De rekening, alstublieft","The bill, please",Phrase
Ik wil reserveren,I want to make a reservation,Phrase
Voor twee personen,For two people,Phrase
Waar is de supermarkt?,Where is the supermarket?,Phrase
Waar is de bushalte?,Where is the bus stop?,Phrase
Welke bus moet ik nemen?,Which bus should I take?,Phrase
Ik neem de trein,I am taking the train,Phrase
Ik ben te laat,I am late,Phrase
Ik ben op tijd,I am on time,Phrase
Fijne dag,Have a nice day,Phrase
Fijn weekend,Have a nice weekend,Phrase
Veel succes,Good luck,Phrase
Gefeliciteerd,Congratulations,Phrase
Ik ben moe,I am tired,Phrase
Ik ben blij,I am happy,Phrase
Ik ben druk,I am busy,Phrase
Ik heb geen tijd,I do not have time,Phrase
Ik kom eraan,I am coming,Phrase
Wacht even,Wait a moment,Phrase
Geen zorgen,Do not worry,Phrase
ja,yes,Word
nee,no,Word
misschien,maybe,Word
vandaag,today,Word
morgen,tomorrow,Word
gisteren,yesterday,Word
nu,now,Word
later,later,Word
hier,here,Word
daar,there,Word
links,left,Word
rechts,right,Word
water,water,Word
brood,bread,Word
melk,milk,Word
koffie,coffee,Word
thee,tea,Word
huis,house,Word
fiets,bicycle,Word
auto,car,Word
trein,train,Word
bus,bus,Word
winkel,shop,Word
school,school,Word
werk,work,Word
vriend,friend,Word
familie,family,Word
kind,child,Word
man,man,Word
vrouw,woman,Word
