Dutch,English,Type,Topic,ExamSkill
Hallo,Hello,Phrase,Greetings and politeness,Speaking
Goedemorgen,Good morning,Phrase,Greetings and politeness,Speaking
Goedemiddag,Good afternoon,Phrase,Greetings and politeness,Speaking
Goedenavond,Good evening,Phrase,Greetings and politeness,Speaking
Tot ziens,See you,Phrase,Greetings and politeness,Speaking
Tot morgen,See you tomorrow,Phrase,Greetings and politeness,Speaking
Doei,Bye,Phrase,Greetings and politeness,Speaking
Dank je wel,Thank you,Phrase,Greetings and politeness,Speaking
Dank u wel,Thank you formal,Phrase,Greetings and politeness,Speaking
Graag gedaan,You are welcome,Phrase,Greetings and politeness,Speaking
Geen probleem,No problem,Phrase,Greetings and politeness,Speaking
Sorry,Sorry,Phrase,Greetings and politeness,Speaking
Het spijt me,I am sorry,Phrase,Greetings and politeness,Speaking
Pardon,Excuse me,Phrase,Greetings and politeness,Speaking
Alstublieft,Please formal / here you are,Phrase,Greetings and politeness,Speaking
Alsjeblieft,Please informal / here you are,Phrase,Greetings and politeness,Speaking
Hoe heet je?,What is your name?,Phrase,Personal information,Speaking
Ik heet ...,My name is ...,Phrase,Personal information,Speaking
Mijn naam is ...,My name is ...,Phrase,Personal information,Speaking
Waar kom je vandaan?,Where are you from?,Phrase,Personal information,Speaking
Ik kom uit India.,I come from India.,Phrase,Personal information,Speaking
Ik kom uit Nederland.,I come from the Netherlands.,Phrase,Personal information,Speaking
Waar woon je?,Where do you live?,Phrase,Personal information,Speaking
Ik woon in Amstelveen.,I live in Amstelveen.,Phrase,Personal information,Speaking
Ik woon samen met mijn familie.,I live together with my family.,Phrase,Personal information,Speaking
Ik ben getrouwd.,I am married.,Phrase,Personal information,Speaking
Ik ben niet getrouwd.,I am not married.,Phrase,Personal information,Speaking
Ik heb twee kinderen.,I have two children.,Phrase,Personal information,Speaking
Ik heb geen kinderen.,I have no children.,Phrase,Personal information,Speaking
Ik werk als ...,I work as ...,Phrase,Personal information,Speaking
Ik studeer Nederlands.,I study Dutch.,Phrase,Personal information,Speaking
Ik leer Nederlands voor het examen.,I am learning Dutch for the exam.,Phrase,Personal information,Speaking
Ik spreek een beetje Nederlands.,I speak a little Dutch.,Phrase,Personal information,Speaking
Ik begrijp het niet.,I do not understand.,Phrase,Personal information,Speaking
Kunt u dat herhalen?,Can you repeat that?,Phrase,Personal information,Speaking
Kunt u langzamer spreken?,Can you speak more slowly?,Phrase,Personal information,Speaking
Wat betekent dit?,What does this mean?,Phrase,Personal information,Speaking
Hoe zeg je dat in het Nederlands?,How do you say that in Dutch?,Phrase,Personal information,Speaking
wie,who,Question word,Questions,Speaking
wat,what,Question word,Questions,Speaking
waar,where,Question word,Questions,Speaking
wanneer,when,Question word,Questions,Speaking
waarom,why,Question word,Questions,Speaking
hoe,how,Question word,Questions,Speaking
hoeveel,how much / how many,Question word,Questions,Speaking
welke,which,Question word,Questions,Speaking
waarheen,to where,Question word,Questions,Speaking
waarvandaan,from where,Question word,Questions,Speaking
hoe laat,what time,Question word,Questions,Speaking
hoe lang,how long,Question word,Questions,Speaking
hoe vaak,how often,Question word,Questions,Speaking
Ik wil graag ...,I would like ...,Sentence pattern,Useful patterns,Speaking/Writing
Ik wil graag een afspraak maken.,I would like to make an appointment.,Sentence pattern,Useful patterns,Speaking/Writing
Ik moet ...,I have to ...,Sentence pattern,Useful patterns,Speaking/Writing
Ik moet naar mijn werk.,I have to go to work.,Sentence pattern,Useful patterns,Speaking/Writing
Ik kan niet ...,I cannot ...,Sentence pattern,Useful patterns,Speaking/Writing
Ik kan vandaag niet komen.,I cannot come today.,Sentence pattern,Useful patterns,Speaking/Writing
Ik heb ... nodig.,I need ...,Sentence pattern,Useful patterns,Speaking/Writing
Ik heb hulp nodig.,I need help.,Sentence pattern,Useful patterns,Speaking/Writing
Ik zoek ...,I am looking for ...,Sentence pattern,Useful patterns,Speaking/Writing
Ik zoek de huisarts.,I am looking for the GP.,Sentence pattern,Useful patterns,Speaking/Writing
Ik ga naar ...,I am going to ...,Sentence pattern,Useful patterns,Speaking/Writing
Ik ga naar de supermarkt.,I am going to the supermarket.,Sentence pattern,Useful patterns,Speaking/Writing
Ik ben klaar met ...,I am finished with ...,Sentence pattern,Useful patterns,Speaking/Writing
