Dutch,English
lezen,to read
vraag,question
tekst,text
antwoord,answer
examen,exam
beginnen,to begin/start
planning,plan/schedule / planning
informatie,information
inhoud,content
omgeving,environment
rustig,quiet/calm
pauze,break
opnieuw,again
onthouden,to remember
uitleggen,to explain
begrijpen,to understand
brief,letter
email,email
onderwerp,subject/topic
collega,colleague
werk,work
bedrijf,company
kantoor,office
werkgever,employer
werkdag,workday
ziek,sick/ill / ill/sick
ziekmelding,sick-leave notification / sick leave notification
ziek melden,to report sick
telefonisch,by phone
uiterlijk,at the latest
tijdstip,time/moment
werktijd,working hours
meteen,immediately
gesprek,conversation
bereiken,to reach/contact
klacht,complaint/symptom
privacy,privacy
medisch,medical
gegevens,data/details
reden,reason
priveprobleem,private problem
dorp,village
bewoner,resident
buurtbewoner,neighbourhood resident
buurtvereniging,neighbourhood association
medewerking,cooperation
overlast,nuisance/inconvenience
hardloopwedstrijd,running race
hardloper,runner
start,start
finish,finish
route,route
publiek,public/audience
straat,street
weg,road/way
afsluiten,to close off
auto,car
weghalen,to remove/take away
wegslepen,to tow away
politie,police
datum,date
zaterdag,Saturday
juni,June
uur,hour/o'clock
voor,before/for
na,after
daarna,after that
vandaag,today
morgen,tomorrow
volgende week,next week
vorig jaar,last year
dit jaar,this year
meubel,piece of furniture
meubels,furniture
bezorgen,to deliver
bezorging,delivery
transportservice,transport service
verzamelen,to collect/gather
bestelling,order
tarief,rate/fee
bedrag,amount
prijs,price
geldig,valid
adres,address
levertijd,delivery time
website,website
klantenservice,customer service
begane grond,ground floor
verdieping,floor/storey
lift,elevator
flat,apartment building
thuis,at home/home
winkel,shop/store
supermarkt,supermarket
kopen,to buy
verkopen,to sell
koop,sale/for sale
goedkoop,cheap
gratis,free
betalen,to pay
geld,money
euro,euro
winst,profit
goed doel,charity/good cause
kringloopcentrum,thrift/recycling centre / thrift store
spullen,things/items
gebruikt,used
nieuw,new
kleding,clothes
schoen,shoe
dame,lady/woman
heer,gentleman/man
kind,child
jeugd,youth
volwassene,adult
boek,book
tijdschrift,magazine
apparaat,device/appliance
speelgoed,toys
controleren,to check/control
testen,to test
kapot,broken
repareren,to repair
schoon,clean
ophalen,to pick up/collect
afleveren,to deliver/drop off
weggooien,to throw away
nodig hebben,to need
weinig,little/few
vrijwilliger,volunteer
medewerker,employee/worker
verdienen,to earn
kinderboerderij,children's farm
tas,bag
rugtas,backpack
rits,zipper
bureau,desk/office
portier,porter/doorman
trein,train
laptop,laptop
bril,glasses
telefoon,phone / telephone
portemonnee,wallet
bericht,message
vinden,to find
vergeten,to forget
geel,yellow
sportdag,sports day
sportpark,sports park
veld,field
tennistoernooi,tennis tournament
tennis,tennis
basketbal,basketball
voetbal,football/soccer
volleybal,volleyball
wedstrijd,match/competition
lunchpauze,lunch break
brood,bread
koffie,coffee
thee,tea
drankje,drink
vlees,meat
boodschappen,groceries
barbecue,barbecue
barbecuen,to barbecue
kleedkamer,changing room
verbouwen,to renovate
sportkleren,sports clothes
aantrekken,to put on
aanmelden,to register/sign up
deelnemer,participant
meedoen,to join/participate
doorgeven,to pass on/inform
kiezen,to choose
bruiloft,wedding
trouwen,to marry
feestcommissie,party committee
oprichten,to set up/found
bestaan uit,to consist of
taak,task
bus,bus
huren,to rent/hire
opgeven,to sign up/register
cadeau,gift
bruidspaar,bridal couple
lijstje,small list
cadeaubon,gift card/voucher
weekendje weg,weekend away
verrassing,surprise
geheim,secret
EHBO,first aid
cursus,course
ongeluk,accident
ehboer,first-aider
buurjongen,neighbour boy
arm,arm
been,leg
breken,to break
snijden,to cut
bloedneus,nosebleed
brandwond,burn wound
diploma,diploma/certificate
bijeenkomst,meeting/session
cursusboek,course book
examen doen,to take an exam
praktijk,practice/practical part
reanimeren,to resuscitate
reanimatie,resuscitation
hartstilstand,cardiac arrest
ademstilstand,respiratory arrest
leven,life/to live
redden,to save/rescue
ouder,parent
verzorger,carer/caregiver
gewond,injured
hoesten,to cough
onderwijs,education
geschikt,suitable
verschillend,different/various
zoveel mogelijk,as much as possible
meest,most
regels,rules
melden,to report/notify
vertellen,to tell
overlopen,to go through/check
meenemen,to bring/take along
ontvangen,to receive
sturen,to send
vragen,to ask
weten,to know
wonen,to live/reside
komen,to come
gaan,to go
zorgen voor,to take care of/provide
helpen,to help
gebruiken,to use
doen,to do
moeten,must/have to
kunnen,can/be able to
willen,to want
mogen,may/be allowed
hoeven,need to
zoeken,to search/look for
plaats,place
naam,name
persoon,person
aantal,number/amount
alles,everything
iets,something
niets,nothing
niemand,nobody
iedereen,everyone
iemand,someone
alleen,only/alone
samen,together
ander,other/different
eigen,own
zeker,sure/certainly
belangrijk,important
mogelijk,possible
snel,quick/quickly
laat,late
vroeg,early
half,half
ochtend,morning
middag,afternoon
avond,evening
nacht,night
leren,to learn
dag,day
week,week
handdoek,towel
water,water
e-mail,email
huis,house/home
gevonden,found
sportkleding,sports clothes
ouders,parents
medische gegevens,medical data
gebruikte spullen,used items
elektrische apparaten,electrical appliances
basisschool,primary school
ondernemen,undertake/do
Wat moet hij/zij doen?,What must he/she do?
Waar is ...?,Where is ...?
Wanneer moet ...?,When must ...?
Hoeveel kost ...?,How much does it cost?
Aan wie moet ...?,To whom must ...?
Waarom krijgt/stuurt ...?,Why does someone receive/send it?
Welke cursus is geschikt?,Which course is suitable?
Wat zit er in ...?,What is inside ...?
Waar gaat ... naartoe?,Where does it go?
nat,wet
licht,light
hebben,to have
beginnen,to begin
nemen,to take
met,with
wie,who
alsjeblieft,here you are
droog,dry
zwaar,heavy
worden,to become
geloven,to believe
zonder,without
wat,what
alstublieft,here you are
algemeen,general
hard,"hard, fast"
brengen,to bring
naar,to
dat,that
alsjeblieft,please
bijzonder,special
zacht,"soft, slow"
halen,to pick up
een beetje,a bit
in,in
dit,this
a.u.b.,please
gebruikelijk,common
snel,fast
de vraag,the question
lenen,to borrow
geven,to give
natuurlijk,of course
voor,in front of
welke,which
dank je wel,thank you
dom,stupid
lief,"lovely, sweet"
antwoorden,to answer
bellen,to call
reeds,already
achter,behind
deze,"these, this"
ja,yes
slim,clever
stout,naughty
het antwoord,the answer
kunnen,to can
proberen,to try
al,already
naast,next to
die,"that, those"
nee,no
druk,busy
koud,cold
sluiten,to close
lijken,to seem
net,just
beneden,"down, downstairs"
waar,where
niet,not
druk,crowded
warm,warm
krijgen,"to get, to receive"
laten zien,to show
pas,only
boven,"above, up, upstairs"
hier,here
roken,to smoke
glad,slippery
duur,expensive
eten,to eat
beslissen,to decide
spelen,to play
nog,still
onder,below
daar,there
wel,(confirmative)
beroemd,famous
drinken,to drink
vallen,to fall
zitten,to sit
erg,very
op,"at, on top"
wanneer,when
misschien,maybe
lui,lazy
hoog,"high, tall"
rijden,to drive
voelen,"to feel, to touch"
staan,to stand
even,just (as)
tussen,between
dan,then
links,left
stil,quiet
laag,low
volgen,to follow
alleen,alone
het midden,the middle
toen,at that time (past)
rechts,right
verschrikkelijk,terrible
ander,other
horen,to hear
gebeuren,to happen
ontmoeten,to meet
altijd,always
over,about
terwijl,while
of,or
voorzichtig,careful
kort,short
luisteren,to listen
zingen,to sing
doorgaan,to continue
door,through
over,over
hoe,how
en,and
sterk,strong
lang,long
zien,to see
uitgeven,to spend
dus,so
bij,"at, near"
zo,like this
jij,you
zwak,weak
kijken,to look
houden,"to hold, to keep"
groeien,to grow
genoeg,enough
binnen,inside
hoeveel,how much
je,you
eenzaam,lonely
beter,better
houden van,to love
aanbieden,to offer
bijna,almost
buiten,outside
hoe laat,how late
hij,he
compleet,complete
best,best
herinneren,to remember
bijvoorbeeld,for example
tegen,against
waarom,why
zij,she
wakker,awake
enige,only
slapen,to sleep
kennen,to know
overwegen,to consider
normaal,usually
rond,around
daarom,that's why
ze,she
enkel,single
leuk vinden,to like
bouwen,to build
nooit,never
sinds,since
want,because
wij,we
noord,north
dubbel,double
schrijven,to write
laten,to leave
blijven,to stay
ooit,ever
van,from
omdat,because
we,we
oost,east
spreken,to speak
