Dutch,English
A,"Letter A. Pronunciation: 'ah' (like 'father') or short 'a' (like 'cap'). Examples: 'appel' (apple), 'kat' (cat), 'vader' (father), 'man' (man)"
B,"Letter B. Pronunciation: 'bay'. Examples: 'banaan' (banana), 'boom' (tree), 'boek' (book), 'bier' (beer)"
C,"Letter C. Pronunciation: 'say' (soft) or 'k' (hard). Examples: 'citroen' (lemon), 'computer' (computer), 'cadeau' (gift)"
D,"Letter D. Pronunciation: 'day' (sounds like 't' at the end of a word). Examples: 'dak' (roof), 'hond' (dog), 'deur' (door), 'dier' (animal)"
E,"Letter E. Pronunciation: 'ay' (like 'say') or short 'eh' (like 'pet'). Examples: 'ezel' (donkey), 'pen' (pen), 'bed' (bed), 'een' (one)"
F,"Letter F. Pronunciation: 'eff'. Examples: 'fiets' (bicycle), 'fles' (bottle), 'fruit' (fruit)"
G,"Letter G. Pronunciation: 'ge' (voiced throat-guttural 'ch'). Examples: 'geel' (yellow), 'groen' (green), 'goed' (good), 'goud' (gold)"
H,"Letter H. Pronunciation: 'ha' (breathy as in English). Examples: 'huis' (house), 'hond' (dog), 'hert' (deer)"
I,"Letter I. Pronunciation: 'ee' (long) or short 'i' (like 'sit'). Examples: 'ik' (I / me), 'vis' (fish), 'in' (in), 'is' (is)"
J,"Letter J. Pronunciation: 'ye' (sounds like 'y' in 'yellow'). Examples: 'jas' (coat), 'ja' (yes), 'jong' (young)"
K,"Letter K. Pronunciation: 'ka' (unaspirated, no puff of air). Examples: 'kat' (cat), 'klein' (small), 'kind' (child), 'kam' (comb)"
L,"Letter L. Pronunciation: 'el'. Examples: 'lamp' (lamp), 'lopen' (to walk), 'leuk' (nice)"
M,"Letter M. Pronunciation: 'em'. Examples: 'maan' (moon), 'man' (man), 'moeder' (mother)"
N,"Letter N. Pronunciation: 'en'. Examples: 'nat' (wet), 'neus' (nose), 'nee' (no), 'nieuw' (new)"
O,"Letter O. Pronunciation: 'oh' (like 'go') or short 'o' (like 'pot'). Examples: 'oog' (eye), 'ook' (also), 'open' (open), 'onder' (under)"
P,"Letter P. Pronunciation: 'pe'. Examples: 'pen' (pen), 'peer' (pear), 'pet' (cap), 'pijn' (pain)"
Q,"Letter Q. Pronunciation: 'ku' (rare; sounds like 'k'). Examples: 'quiz' (quiz), 'aquarium' (aquarium)"
R,"Letter R. Pronunciation: 'er' (voiced throat/rolled). Examples: 'rook' (smoke), 'rood' (red), 'reis' (journey)"
S,"Letter S. Pronunciation: 'es'. Examples: 'sap' (juice), 'stoel' (chair), 'soep' (soup), 'snel' (fast)"
T,"Letter T. Pronunciation: 'te'. Examples: 'tak' (branch), 'trein' (train), 'tuin' (garden), 'tafel' (table)"
U,"Letter U. Pronunciation: 'u' (French 'u' / German 'ü') or short 'uh' (like 'sir'). Examples: 'uur' (hour), 'bus' (bus), 'uit' (out), 'vullen' (to fill)"
V,"Letter V. Pronunciation: 'vee' (often unvoiced, sounds near 'f'). Examples: 'vis' (fish), 'vol' (full), 'veer' (feather), 'vogel' (bird)"
W,"Letter W. Pronunciation: 'we' (lip-teeth approximant). Examples: 'wol' (wool), 'water' (water), 'wit' (white), 'wind' (wind)"
X,"Letter X. Pronunciation: 'iks' (rare). Examples: 'xylofoon' (xylophone), 'taxi' (taxi)"
Y,"Letter Y. Pronunciation: 'griekse ij' (called Greek Y). Examples: 'yoghurt' (yogurt), 'baby' (baby)"
Z,"Letter Z. Pronunciation: 'zet'. Examples: 'zon' (sun), 'zee' (sea), 'zoon' (son), 'zwemmen' (to swim)"
aa,"Long AA Vowel. Pronunciation: 'ah' (long and open). Examples: 'maan' (moon), 'haar' (hair), 'naam' (name), 'taal' (language)"
ee,"Long EE Vowel. Pronunciation: 'ay' (long and tense). Examples: 'been' (leg), 'zeep' (soap), 'meer' (more), 'geel' (yellow)"
oo,"Long OO Vowel. Pronunciation: 'oh' (long and rounded). Examples: 'boot' (boat), 'oog' (eye), 'rood' (red), 'boom' (tree)"
uu,"Long UU Vowel. Pronunciation: 'uu' (rounded French 'u'). Examples: 'muur' (wall), 'vuur' (fire), 'uur' (hour), 'duur' (expensive)"
ie,"Vowel digraph IE. Pronunciation: 'ee' (like 'feet'). Examples: 'dier' (animal), 'fiets' (bicycle), 'vies' (dirty), 'bier' (beer)"
oe,"Vowel digraph OE. Pronunciation: 'oo' (like 'boot'). Examples: 'boek' (book), 'stoel' (chair), 'moer' (nut/mother), 'koek' (cake)"
eu,"Vowel digraph EU. Pronunciation: 'eu' (French 'eu' / German 'ö'). Examples: 'neus' (nose), 'deur' (door), 'veulen' (foal), 'keel' (throat)"
ui,"Diphthong UI. Pronunciation: rounded front vowel (French 'oeil'). Examples: 'huis' (house), 'tuin' (garden), 'fluit' (flute), 'fruit' (fruit)"
ou / au,"Diphthong OU / AU (pronounced identically). Examples: 'hout' (wood - 'ou'), 'blauw' (blue - 'au'), 'oud' (old - 'ou'), 'koud' (cold - 'ou'), 'goud' (gold - 'ou')"
ij / ei,"Diphthong IJ / EI (pronounced identically). Examples: 'trein' (train - 'ei'), 'ijs' (ice - 'ij'), 'pijn' (pain - 'ij'), 'ei' (egg - 'ei'), 'vrij' (free - 'ij'), 'klein' (small - 'ei')"
