Dutch,English,Lesson
ik,I,Lesson 1
ik heet,my name is,Lesson 1
ik ben,I am,Lesson 1
een,a,Lesson 1
de,the,Lesson 1
het,the,Lesson 1
de man,the man,Lesson 1
de vrouw,the woman,Lesson 1
de jongen,the boy,Lesson 1
het meisje,the girl,Lesson 1
het huis,the house,Lesson 1
hallo,hello,Lesson 1
hoi,hi,Lesson 1
goed,good,Lesson 1
slecht,bad,Lesson 1
morgen,morning,Lesson 1
morgen,tomorrow,Lesson 1
goedemorgen,good morning,Lesson 1
avond,evening,Lesson 1
goedenavond,good evening,Lesson 1
dag,day,Lesson 1
goedendag,good day !,Lesson 1
tot ziens,see you,Lesson 1
tot,until,Lesson 1
doei,bye,Lesson 1
alsjeblieft,here you are,Lesson 2
alstublieft,here you are,Lesson 2
alsjeblieft,please,Lesson 2
a.u.b.,please,Lesson 2
dank je wel,thank you,Lesson 2
ja,yes,Lesson 2
nee,no,Lesson 2
niet,not,Lesson 2
roken,to smoke,Lesson 2
wel,(confirmative),Lesson 2
misschien,maybe,Lesson 2
links,left,Lesson 2
rechts,right,Lesson 2
of,or,Lesson 2
en,and,Lesson 2
jij,you,Lesson 2
je,you,Lesson 2
hij,he,Lesson 2
zij,she,Lesson 2
ze,she,Lesson 2
wij,we,Lesson 2
we,we,Lesson 2
jullie,you,Lesson 2
zij,they,Lesson 2
ze,they,Lesson 2
u,you,Lesson 2
zijn,to be,Lesson 3
de leraar,the teacher,Lesson 3
blij,happy,Lesson 3
leuk,funny,Lesson 3
mooi,pretty,Lesson 3
oud,old,Lesson 3
jong,young,Lesson 3
de voetballer,the football player,Lesson 3
de premier,the prime minister,Lesson 3
de student,the student,Lesson 3
de leerling,the scholar,Lesson 3
de baas,the boss,Lesson 3
de bakker,the baker,Lesson 3
de slager,the butcher,Lesson 3
de boer,the farmer,Lesson 3
de visser,the fisherman,Lesson 3
de advocaat,the lawyer,Lesson 3
de dokter,the doctor,Lesson 3
de ober,the waiter,Lesson 3
de politieman,the police officer,Lesson 3
de agent,the police officer,Lesson 3
de kapper,the hairdresser,Lesson 3
de directeur,the (company) director,Lesson 3
de boekhouder,the accountant,Lesson 3
de verkoper,the salesman,Lesson 3
de vertegenwoordiger,the representative,Lesson 3
eten & drinken,food & drinks,Lesson 4
de groente,the vegetables,Lesson 4
het fruit,the fruits,Lesson 4
het brood,the bread,Lesson 4
de boterham,the slice of bread,Lesson 4
de kaas,the cheese,Lesson 4
de hagelslag,the chocolate sprinkles,Lesson 4
de pindakaas,the peanut butter,Lesson 4
de melk,the milk,Lesson 4
de koffie,the coffee,Lesson 4
de thee,the tea,Lesson 4
de aardappel,the potato,Lesson 4
de aardappeleter,the potato-eater,Lesson 4
het bier,the beer,Lesson 4
de wijn,the wine,Lesson 4
het water,the water,Lesson 4
het vlees,the meat,Lesson 4
de kip,the chicken,Lesson 4
de friet,the French fries,Lesson 4
frietje met,French fries with mayonnaise,Lesson 4
de frikadel,Dutch meat sausage,Lesson 4
de kroket,Dutch fried ragout bar,Lesson 4
de pannenkoek,the pancake,Lesson 4
de stroopwafel,the syrup waffle,Lesson 4
drop,liquorice,Lesson 4
"de, het snoep",the sweets,Lesson 4
wie,who,Lesson 5
wat,what,Lesson 5
dat,that,Lesson 5
dit,this,Lesson 5
welke,which,Lesson 5
deze,"these, this",Lesson 5
die,"that, those",Lesson 5
waar,where,Lesson 5
hier,here,Lesson 5
daar,there,Lesson 5
wanneer,when,Lesson 5
dan,then,Lesson 5
toen,at that time (past),Lesson 5
terwijl,while,Lesson 5
hoe,how,Lesson 5
zo,like this,Lesson 5
